### Module positions - created on 2026-01-10 21:16
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 41.900mm, Pcb Width 161.350mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
C15           100nF               C_0805_2012Metric             88.6500    -79.9250   88.6500    -78.9750     -9.0    top       SMD
C24           100nF               C_0805_2012Metric             207.9620   -111.5620  207.9620   -110.6120    -9.0    top       SMD
C5            100nF               C_0805_2012Metric             160.6300   -99.0202   161.5800   -99.0202     18.0    top       SMD
U3            IM66D132H           IFX-PG-TLGA-5N-9-V            84.6285    -111.7060  83.5915    -112.5440     9.0    top       VIRTUAL
U7            IM66D132H           IFX-PG-TLGA-5N-9-V            212.0090   -79.9010   213.0460   -79.0630     -9.0    top       VIRTUAL
C16           100nF               C_0805_2012Metric             135.6500   -79.9750   135.6500   -79.0250     -9.0    top       SMD
R11           100R                R_0805_2012Metric             215.4000   -79.8500   215.4000   -80.7625      9.0    top       SMD
U1            QFN_0IRTWR_TEX      PCMD3180IRTWR                 152.4550   -95.0452   151.2047   -97.0113      9.0    top       THD
C8            100nF               C_0805_2012Metric             147.0750   -89.0750   146.1250   -89.0750      0.0    top       SMD
J2            Conn_01x04          PinSocket_1x04_P2.54mm_Vert.. 189.1500   -84.4750   189.1500   -84.4750      0.0    top       THD
C25           47pF                C_0805_2012Metric             171.0750   -111.7510  171.0750   -112.7010     9.0    top       SMD
C14           47pF                C_0805_2012Metric             125.5655   -111.6310  125.5655   -110.6810    -9.0    top       SMD
U8            IM66D132H           IFX-PG-TLGA-5N-9-V            165.4380   -111.6380  166.4750   -110.8000    -9.0    top       VIRTUAL
U4            IM66D132H           IFX-PG-TLGA-5N-9-V            84.6130    -79.9490   83.5760    -80.7870      9.0    top       VIRTUAL
R6            100R                R_0805_2012Metric             81.1500    -79.9375   81.1500    -79.0250     -9.0    top       SMD
R2            100R                R_0805_2012Metric             81.0785    -111.7685  81.0785    -112.6810     9.0    top       SMD
C6            10uF                C_0805_2012Metric             157.4550   -98.8702   157.4550   -97.9202     -9.0    top       SMD
C9            100nF               C_0805_2012Metric             153.5000   -90.6000   152.5500   -90.6000      0.0    top       SMD
U6            IM66D132H           IFX-PG-TLGA-5N-9-V            165.0880   -79.9370   166.1250   -79.0990     -9.0    top       VIRTUAL
TP2           TestPoint           TestPoint_Pad_D1.0mm          193.0000   -97.8970   193.0000   -97.8970     18.0    top       VIRTUAL
TP1           TestPoint           TestPoint_Pad_D1.0mm          183.9250   -97.7750   183.9250   -97.7750     18.0    top       VIRTUAL
REF3          MountingHole_3.2m.. MountingHole_3.2mm_M3         224.0000   -80.2500   0.0000     0.0000        0.0    top       VIRTUAL
R8            100K                R_0805_2012Metric             79.7375    -82.9750   78.8250    -82.9750      0.0    top       SMD
REF4          MountingHole_3.2m.. MountingHole_3.2mm_M3         224.3000   -112.7250  0.0000     0.0000        0.0    top       VIRTUAL
C7            10uF                C_0805_2012Metric             147.0500   -91.6500   148.0000   -91.6500     18.0    top       SMD
R5            100K                R_0805_2012Metric             126.6780   -114.4810  127.5905   -114.4810    18.0    top       SMD
U9            IM66D132H           IFX-PG-TLGA-5N-9-V            212.0500   -111.6250  213.0870   -110.7870    -9.0    top       VIRTUAL
C3            1uF                 C_0805_2012Metric             159.8000   -95.0750   159.8000   -96.0250      9.0    top       SMD
C27           1µF                 C_0805_2012Metric             184.0500   -101.7470  184.0500   -102.6970     9.0    top       SMD
